subscription_id,user_id,plan,start_ts,end_ts,status
17d52b51-7af7-456b-837c-97e73b68f0b7,4e2c5d7f-e12d-4d39-9980-41d9f9029edb,monthly,2025-05-06 17:31:00,2026-03-02 17:31:00,active
6974da21-f950-4a5c-84ea-ba223afd95be,815f90b5-30c4-43e7-b5aa-6950aa441b34,monthly,2025-07-25 10:01:00,2025-12-22 10:01:00,active
3b5b211a-bd48-4c35-b5f2-9c9b26413412,9cca6c6e-f403-4546-9ae1-b59c80fc2927,monthly,2025-02-08 20:41:00,2025-04-09 20:41:00,canceled
69a773e3-081b-4be4-9209-1234008da165,244b2c27-3a79-48cb-8974-23e5eebb24e2,monthly,2025-02-09 06:44:00,2025-10-07 06:44:00,active
0c8e66cc-a302-4641-ac25-29a8d70c9f12,99d1a9f0-3cfa-4c64-b289-5b71659182b1,annual,2025-03-09 12:48:00,2026-03-09 12:48:00,active
deee55e2-b21f-43c4-a240-4cbeeb2420b4,99d1a9f0-3cfa-4c64-b289-5b71659182b1,annual,2025-06-08 16:15:00,2026-06-08 16:15:00,active
767e4393-d455-4347-8515-01be352570b4,65abc670-ca9b-45c0-8e6a-da729a64b9b9,annual,2025-04-25 03:58:00,2026-04-25 03:58:00,active
01cd489a-047b-4005-b763-c6ae9aa22363,0d1a73df-e757-4cf4-a5ac-5d2404318157,monthly,2025-02-15 03:13:00,2026-01-11 03:13:00,active
0e9faf30-81c3-444f-b27d-e62d98c0061d,0d1a73df-e757-4cf4-a5ac-5d2404318157,annual,2025-02-15 06:27:00,2026-02-15 06:27:00,active
f471a6d4-73c4-4f0c-a021-d398c8757ea4,0d1a73df-e757-4cf4-a5ac-5d2404318157,monthly,2025-07-12 10:42:00,2025-10-10 10:42:00,active
5c180695-0b43-4659-8548-2934b7742c27,5c5d4a6b-a043-47db-8ee2-250fd7a0137c,annual,2025-04-12 15:46:00,2026-04-12 15:46:00,active
f07be48a-088e-4f69-8188-3031125c57c8,5c5d4a6b-a043-47db-8ee2-250fd7a0137c,annual,2025-04-12 15:22:00,2026-04-12 15:22:00,active
29b44fc6-34db-4b2e-92b9-ed08226bc3ef,d349b89c-d01d-4c03-8ec7-493e2508a83a,monthly,2025-07-01 12:23:00,2025-08-30 12:23:00,active
92152c80-35f8-440c-a5ce-061c03849c46,6214fda9-b802-4f7f-8634-93241652e3ed,monthly,2025-07-03 10:25:00,2026-04-29 10:25:00,active
984cc5e6-a7cd-4936-8ed9-f94bdf582ba3,6214fda9-b802-4f7f-8634-93241652e3ed,monthly,2025-07-10 17:51:00,2025-09-08 17:51:00,active
2a0bab21-c50b-4447-8dad-f5bbd75e867c,724bed89-792d-4913-8f4b-5e05bcece448,annual,2025-05-03 17:51:00,2026-05-03 17:51:00,active
15d2e95b-ccca-4a97-89d3-8237885f0520,724bed89-792d-4913-8f4b-5e05bcece448,monthly,2025-05-03 17:51:00,2026-06-27 17:51:00,active
dec901b9-3ff5-40ae-9963-25686611ecbc,ac2373ca-9fec-4f83-a1b1-765f9bfa422c,annual,2025-04-01 23:09:00,2026-04-01 23:09:00,active
7fe53b9a-35c1-4a7f-af2c-af64cf37bd02,8fd81459-a99b-46c9-9974-96f7e4740009,monthly,2025-02-13 04:33:00,2025-05-14 04:33:00,canceled
3aea3713-cbce-4161-9e0b-9a220f47aeaa,4a89abda-0000-475e-a69f-e65642a0a847,monthly,2025-06-07 02:22:00,2025-08-06 02:22:00,active
08c94027-3b45-497b-bfbb-9372ac8b8a5b,30a4a5e7-464c-412a-9311-fb742161348c,annual,2025-03-29 18:21:00,2026-03-29 18:21:00,active
f24b0450-470d-4624-a692-6f1c351ad57c,30a4a5e7-464c-412a-9311-fb742161348c,monthly,2025-06-24 21:42:00,2025-10-22 21:42:00,active
c0a54532-1c2f-4ae5-8452-64973a34d8a3,e477cae3-c0de-4d25-ba78-3204ef439b14,monthly,2025-04-17 14:19:00,2025-09-14 14:19:00,active
